Tempo_de_Carga_horas,Energia_Armazenada_mAh,Temperatura_C,Idade_da_Bateria_meses,Tensao_de_Carga_V,Corrente_de_Carga_A,Saude_da_Bateria_percentual
2.59,193.54,26.2,11,5.0,1.5,85.3
6.89,441.65,24.3,17,5.0,1.5,75.0
6.21,466.21,25.3,12,4.2,1.5,84.0
3.08,280.97,27.3,18,3.7,1.5,70.0
7.05,512.3,24.8,6,5.0,1.5,95.9
5.36,523.72,23.8,3,5.0,1.5,81.0
5.55,385.92,23.0,1,4.2,2.0,94.9
4.44,376.93,24.2,7,3.7,2.0,91.3
2.51,200.15,23.2,22,3.7,2.0,70.0
9.26,669.59,27.4,21,3.7,1.0,70.0
9.93,678.42,27.0,15,3.7,1.5,70.0
8.03,509.33,25.8,23,4.2,1.5,70.0
2.68,200.05,25.0,23,5.0,2.0,70.0
7.42,505.94,27.4,20,4.2,1.0,82.0
1.96,106.4,25.6,8,5.0,1.0,80.0
2.0,200.55,25.3,3,4.2,1.5,99.3
7.0,509.98,28.9,15,3.7,1.0,75.7
1.41,63.84,26.0,18,4.2,2.0,76.6
7.84,591.77,26.3,8,4.2,1.5,84.0
5.78,364.75,25.8,8,5.0,1.5,88.0
7.52,596.81,24.7,2,5.0,1.5,100.0
7.53,581.99,23.1,8,3.7,2.0,90.6
9.25,641.96,20.7,22,3.7,1.5,70.0
9.8,735.61,23.9,16,3.7,1.5,74.9
8.0,506.68,24.8,20,3.7,1.0,71.9
1.57,218.26,25.7,12,5.0,1.5,84.8
1.09,57.57,25.4,11,3.7,2.0,86.8
6.23,488.68,26.4,10,4.2,1.0,88.5
7.14,579.55,26.5,15,4.2,1.0,83.0
6.62,538.98,26.2,16,4.2,2.0,76.8
6.23,566.33,23.1,13,4.2,2.0,79.2
8.8,633.48,27.2,17,4.2,1.5,73.0
6.02,422.59,25.7,11,3.7,1.5,95.5
4.0,333.8,28.7,21,4.2,2.0,70.0
1.29,162.62,24.6,19,4.2,1.5,78.0
4.54,387.32,24.3,22,5.0,1.0,76.8
6.6,607.58,24.4,16,3.7,1.0,84.5
1.81,204.36,28.4,18,5.0,2.0,73.3
1.4,138.03,25.1,23,5.0,2.0,70.0
1.09,154.21,27.0,3,4.2,1.5,97.5
1.25,60.03,26.0,16,5.0,2.0,85.2
4.57,376.8,27.0,21,4.2,1.0,72.8
5.09,400.01,23.7,4,3.7,1.5,92.7
4.29,407.01,27.7,2,3.7,2.0,97.4
3.63,213.76,29.3,5,5.0,1.5,91.5
5.01,499.42,26.1,21,4.2,2.0,75.8
5.04,430.9,28.4,18,5.0,1.0,70.0
5.08,364.42,23.8,4,3.7,1.5,94.7
2.45,148.92,22.4,10,5.0,1.0,87.9
2.48,253.06,24.1,14,4.2,1.0,85.4
7.08,522.79,25.2,18,5.0,2.0,70.7
7.61,524.78,22.1,23,3.7,1.0,80.7
2.15,198.86,25.6,12,4.2,1.0,83.1
4.61,331.87,25.2,9,5.0,1.0,98.6
1.35,151.91,24.7,9,4.2,1.5,84.2
8.19,598.55,26.3,22,4.2,2.0,70.0
4.18,343.2,23.5,22,3.7,1.0,72.3
7.31,551.52,25.0,4,3.7,1.0,88.6
8.66,573.51,25.5,18,3.7,1.5,72.3
3.87,298.72,26.0,15,4.2,2.0,80.8
3.45,340.55,21.8,17,4.2,2.0,73.2
6.98,495.84,24.0,14,4.2,1.5,71.6
6.86,445.28,25.3,18,5.0,1.5,73.9
5.32,418.2,26.8,18,5.0,1.0,73.8
4.41,295.27,24.5,16,4.2,1.0,72.8
3.27,282.99,23.2,1,3.7,1.5,99.8
9.4,638.19,24.6,15,3.7,1.0,82.8
5.13,432.65,25.9,13,5.0,1.5,78.6
3.29,331.36,22.8,13,5.0,1.5,78.5
2.25,302.56,27.8,2,3.7,1.0,94.0
2.26,218.62,25.5,2,5.0,1.5,100.0
6.38,414.84,24.7,20,3.7,2.0,70.0
2.38,252.91,21.2,8,3.7,2.0,84.1
3.86,339.78,25.2,17,5.0,1.0,70.0
7.67,529.43,22.9,20,3.7,1.5,70.0
9.92,620.45,23.3,16,5.0,1.5,76.6
8.43,688.53,26.9,14,5.0,1.0,83.8
9.36,551.97,23.7,7,4.2,1.5,94.4
9.98,724.01,28.6,16,5.0,2.0,75.7
3.44,254.41,22.6,13,4.2,1.5,89.4
7.64,557.62,27.0,16,5.0,1.5,84.2
8.61,630.85,24.7,20,5.0,1.5,75.6
8.13,523.69,26.6,10,5.0,1.0,90.5
9.88,594.42,27.3,15,5.0,1.5,81.6
3.47,187.87,22.8,20,4.2,2.0,78.2
9.52,611.01,27.8,17,4.2,1.5,70.0
6.2,491.7,23.9,17,3.7,1.5,75.0
6.38,583.24,23.4,14,5.0,2.0,80.7
5.61,463.13,26.9,11,5.0,1.5,80.3
8.24,538.47,22.5,18,5.0,1.5,76.5
8.05,531.72,23.8,7,5.0,1.0,86.1
4.5,389.32,24.9,12,5.0,1.5,84.5
7.07,456.91,25.6,2,5.0,1.0,96.3
8.74,546.32,24.1,6,4.2,2.0,94.4
8.56,522.58,25.0,10,4.2,2.0,88.2
7.55,656.23,26.1,20,4.2,2.0,74.1
5.15,399.11,24.1,5,5.0,2.0,91.6
